starttime	seconds	ctime	dtime	ttime	wait
Mon Oct 31 17:39:14 2022	1667252354	1	2	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	1	2	3	2
Mon Oct 31 17:39:14 2022	1667252354	1	2	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	2
Mon Oct 31 17:39:14 2022	1667252354	1	2	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	1	2	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	2
Mon Oct 31 17:39:15 2022	1667252355	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	1	2	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:15 2022	1667252355	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:15 2022	1667252355	0	3	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	2
Mon Oct 31 17:39:14 2022	1667252354	1	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	1	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	1	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	2
Mon Oct 31 17:39:15 2022	1667252355	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	2
Mon Oct 31 17:39:14 2022	1667252354	1	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	1	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	1	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	1	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	1	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	1	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	1	3	3	2
Mon Oct 31 17:39:14 2022	1667252354	1	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	1	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	1	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	1	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	2
Mon Oct 31 17:39:14 2022	1667252354	1	3	3	3
Mon Oct 31 17:39:15 2022	1667252355	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	1	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:15 2022	1667252355	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	1	3	3	3
Mon Oct 31 17:39:15 2022	1667252355	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:15 2022	1667252355	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	1	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	1	3	3	2
Mon Oct 31 17:39:15 2022	1667252355	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:15 2022	1667252355	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:15 2022	1667252355	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	1	3	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	1	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	2
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
Mon Oct 31 17:39:14 2022	1667252354	0	3	3	3
